YEAR,Car_Age,MILEAGE,CAR_PRICE
2018,5,"36,971","64,998"
2020,3,"22,144","74,000"
2018,5,"35,182","62,991"
2017,6,"56,118","55,700"
2022,1,"3,041","94,400"
2019,4,"44,595","61,900"
2016,7,"67,180","54,000"
2022,1,"8,755","99,500"
2023,0,5,"111,830"
2021,2,"9,259","90,000"
